weight,certified_optimum,optimal_choices,optimal_changed_tasks,feasible_runs,optimal_runs,sampled_objectives,sampled_gaps
0,6,"[[1, 1, 1]]",[3],3,3,"[6, 6, 6]","[0, 0, 0]"
1,9,"[[1, 1, 1]]",[3],3,3,"[9, 9, 9]","[0, 0, 0]"
2,12,"[[1, 1, 1]]",[3],3,3,"[12, 12, 12]","[0, 0, 0]"
3,15,"[[1, 1, 1], [2, 0, 0]]","[1, 3]",3,3,"[15, 15, 15]","[0, 0, 0]"
4,16,"[[2, 0, 0]]",[1],3,3,"[16, 16, 16]","[0, 0, 0]"
5,17,"[[2, 0, 0]]",[1],3,3,"[17, 17, 17]","[0, 0, 0]"
6,18,"[[2, 0, 0]]",[1],3,3,"[18, 18, 18]","[0, 0, 0]"
